9.625858e+00	9.489579e-02	1.874997e-02	1	1.301800e+01	4.220000e-06	1.322028e+01	0.000000e+00	1.322028e+01	-2.900000e-02	1.326691e+01	0.000000e+00	1.326691e+01	-2.000000e-02	1.331340e+01	1.040000e+03	1.331340e+01	9.921184e+02	1.306395e+01	1.580000e-03	1.311112e+01	3.840000e-02	1.317315e+01	1.250000e-03	1.811337e+01	2.754707e-12	1.818835e+01	2.717135e-14	1.826233e+01	1.175000e-11	1.844427e+01	4.637736e-10	1.851825e+01	1.012474e-10	1.859323e+01	6.976865e-12	1.866721e+01	4.994320e-13	6.184157582312764	1.0	1.0	0.025991822	0.005153957837912324	1.0	1.0	0.0	2.0	3.4018308e-06	0.0	1.0	42.0	0.02593478	1.3396075e-07	0.0
9.830057e+00	9.891102e-02	1.948975e-02	1	1.350075e+01	4.220000e-06	1.368920e+01	0.000000e+00	1.368920e+01	-2.900000e-02	1.373592e+01	0.000000e+00	1.373592e+01	-2.000000e-02	1.379770e+01	1.040000e+03	1.379770e+01	9.921051e+02	1.354759e+01	1.580000e-03	1.359546e+01	3.850000e-02	1.364176e+01	1.250000e-03	1.877914e+01	2.763333e-12	1.885310e+01	3.847461e-16	1.892806e+01	1.176389e-11	1.910897e+01	4.671555e-10	1.918393e+01	1.009985e-10	1.925790e+01	6.960868e-12	1.933286e+01	4.827541e-13	6.234157581049658	1.0	1.0	0.026994465	0.005349550903904148	1.0	1.0	0.0	2.0	3.6654317e-06	0.0	1.0	42.0	0.026934268	1.4440826e-07	0.0
1.000006e+01	1.023990e-01	2.023258e-02	1	1.398527e+01	4.220000e-06	1.417412e+01	0.000000e+00	1.417412e+01	-2.900000e-02	1.421997e+01	0.000000e+00	1.421997e+01	-2.000000e-02	1.426686e+01	1.040000e+03	1.426686e+01	9.920917e+02	1.403191e+01	1.580000e-03	1.408031e+01	3.850000e-02	1.412676e+01	1.250000e-03	1.944973e+01	2.758056e-12	1.952370e+01	9.995361e-15	1.959867e+01	1.180713e-11	1.977958e+01	4.646031e-10	1.985455e+01	1.009934e-10	1.992851e+01	6.967125e-12	2.000348e+01	4.904856e-13	6.284157579786552	1.0	1.0	0.027985429	0.005546022380089943	1.0	1.0	0.0	2.0	3.9388228e-06	0.0	1.0	42.0	0.027933754	1.5520781e-07	0.0
1.017406e+01	1.057915e-01	2.085936e-02	1	1.445300e+01	4.220000e-06	1.467346e+01	0.000000e+00	1.467346e+01	-2.900000e-02	1.472020e+01	0.000000e+00	1.472020e+01	-2.000000e-02	1.476644e+01	1.040000e+03	1.476644e+01	9.921184e+02	1.451543e+01	1.580000e-03	1.457883e+01	3.850000e-02	1.462594e+01	1.250000e-03	2.012733e+01	2.746489e-12	2.020233e+01	7.160373e-15	2.027633e+01	1.178521e-11	2.045833e+01	4.616408e-10	2.053333e+01	1.011547e-10	2.060733e+01	6.940038e-12	2.068233e+01	4.706730e-13	6.334157578523445	1.0	1.0	0.028993167	0.005742618557565901	1.0	1.0	0.0	2.0	4.2220822e-06	0.0	1.0	42.0	0.028933238	1.664967e-07	0.0
1.034786e+01	1.093063e-01	2.155905e-02	1	1.495402e+01	4.220000e-06	1.515589e+01	0.000000e+00	1.515589e+01	-2.900000e-02	1.520257e+01	0.000000e+00	1.520257e+01	-2.000000e-02	1.524998e+01	1.040000e+03	1.524998e+01	9.920384e+02	1.500069e+01	1.580000e-03	1.504772e+01	3.850000e-02	1.510912e+01	1.250000e-03	2.079732e+01	2.742415e-12	2.087232e+01	4.463082e-15	2.094632e+01	1.178278e-11	2.112832e+01	4.638867e-10	2.120232e+01	1.015639e-10	2.127732e+01	6.946381e-12	2.135132e+01	4.802553e-13	6.384157577260339	1.0	1.0	0.030000053	0.005940186259707561	1.0	1.0	0.0	2.0	4.5151833e-06	0.0	1.0	42.0	0.029932724	1.7820591e-07	0.0
1.050266e+01	1.124123e-01	2.216179e-02	1	1.543590e+01	4.220000e-06	1.562394e+01	0.000000e+00	1.562394e+01	-2.900000e-02	1.567035e+01	0.000000e+00	1.567035e+01	-2.000000e-02	1.570214e+01	1.040000e+03	1.570214e+01	9.920651e+02	1.548246e+01	1.580000e-03	1.552914e+01	3.850000e-02	1.557607e+01	1.250000e-03	2.146720e+01	2.764095e-12	2.154220e+01	7.140122e-15	2.161620e+01	1.179039e-11	2.179820e+01	4.636871e-10	2.187220e+01	1.009123e-10	2.194719e+01	6.937394e-12	2.202119e+01	4.898984e-13	6.434057575999759	1.0	1.0	0.031005742	0.006138107341465318	1.0	1.0	0.0	2.0	4.8175493e-06	0.0	1.0	42.0	0.030933551	1.9031657e-07	0.0
1.067386e+01	1.158277e-01	2.281262e-02	1	1.589011e+01	4.220000e-06	1.607795e+01	0.000000e+00	1.607795e+01	-2.900000e-02	1.612411e+01	0.000000e+00	1.612411e+01	-1.900000e-02	1.617055e+01	1.040000e+03	1.617055e+01	9.920651e+02	1.593704e+01	1.580000e-03	1.598475e+01	3.850000e-02	1.603158e+01	1.250000e-03	2.213696e+01	2.739463e-12	2.221095e+01	5.212332e-16	2.228595e+01	1.170689e-11	2.246695e+01	4.615873e-10	2.254194e+01	1.008706e-10	2.261594e+01	6.926176e-12	2.269094e+01	4.885618e-13	6.483957574739179	1.0	1.0	0.031990472	0.006334144423750271	1.0	1.0	0.0	2.0	5.1297261e-06	0.0	1.0	42.0	0.031931695	2.0263226e-07	0.0
1.081426e+01	1.186204e-01	2.336917e-02	1	1.634244e+01	4.220000e-06	1.657699e+01	0.000000e+00	1.657699e+01	-2.900000e-02	1.662398e+01	0.000000e+00	1.662398e+01	-2.000000e-02	1.667200e+01	1.040000e+03	1.667200e+01	9.920917e+02	1.640581e+01	1.580000e-03	1.646812e+01	3.850000e-02	1.653067e+01	1.250000e-03	2.280559e+01	2.741180e-12	2.287958e+01	1.458400e-14	2.295458e+01	1.170059e-11	2.313556e+01	4.646117e-10	2.321056e+01	1.010216e-10	2.328455e+01	6.959499e-12	2.335954e+01	4.948798e-13	6.533957573476073	1.0	1.0	0.033000968	0.006530087253647968	1.0	1.0	0.0	2.0	5.4523744e-06	0.0	1.0	42.0	0.032931179	2.154992e-07	0.0
1.096826e+01	1.217149e-01	2.398412e-02	1	1.685795e+01	4.210000e-06	1.704422e+01	0.000000e+00	1.704422e+01	-2.900000e-02	1.709138e+01	0.000000e+00	1.709138e+01	-2.000000e-02	1.713921e+01	1.040000e+03	1.713921e+01	9.920251e+02	1.690451e+01	1.580000e-03	1.695162e+01	3.850000e-02	1.699796e+01	1.250000e-03	2.347453e+01	2.752986e-12	2.354953e+01	8.683169e-16	2.362352e+01	1.165979e-11	2.380550e+01	4.647009e-10	2.388050e+01	1.011167e-10	2.395449e+01	6.975646e-12	2.402948e+01	4.722930e-13	6.583957572212967	1.0	1.0	0.033993207	0.006726578086036827	1.0	1.0	0.0	2.0	5.7848056e-06	0.0	1.0	42.0	0.033930663	2.2865797e-07	0.0
1.113906e+01	1.251036e-01	2.464717e-02	1	1.732735e+01	4.210000e-06	1.751596e+01	0.000000e+00	1.751596e+01	-2.900000e-02	1.756379e+01	0.000000e+00	1.756379e+01	-2.000000e-02	1.761034e+01	1.040000e+03	1.761034e+01	9.919584e+02	1.737356e+01	1.580000e-03	1.742083e+01	3.850000e-02	1.746812e+01	1.250000e-03	2.414407e+01	2.737259e-12	2.421906e+01	1.058261e-14	2.429306e+01	1.163872e-11	2.447504e+01	4.648065e-10	2.454903e+01	1.016383e-10	2.462402e+01	6.941808e-12	2.469801e+01	4.746461e-13	6.63395757094986	1.0	1.0	0.035003062	0.006922120266136977	1.0	1.0	0.0	2.0	6.1270503e-06	0.0	1.0	42.0	0.034930151	2.4229541e-07	0.0
1.131086e+01	1.286451e-01	2.536175e-02	1	1.778310e+01	4.210000e-06	1.800004e+01	0.000000e+00	1.800004e+01	-2.900000e-02	1.804633e+01	0.000000e+00	1.804633e+01	-2.000000e-02	1.809298e+01	1.040000e+03	1.809298e+01	9.919584e+02	1.783002e+01	1.580000e-03	1.789183e+01	3.850000e-02	1.795385e+01	1.250000e-03	2.481479e+01	2.735971e-12	2.488978e+01	1.192721e-15	2.496377e+01	1.178411e-11	2.514576e+01	4.656961e-10	2.521976e+01	1.013749e-10	2.529475e+01	6.980566e-12	2.536875e+01	4.948069e-13	6.683957569686754	1.0	1.0	0.035996579	0.00711960839948414	1.0	1.0	0.0	2.0	6.479107e-06	0.0	1.0	42.0	0.035929635	2.5628154e-07	0.0
1.146686e+01	1.316862e-01	2.596411e-02	1	1.828358e+01	4.220000e-06	1.847283e+01	0.000000e+00	1.847283e+01	-2.900000e-02	1.851895e+01	0.000000e+00	1.851895e+01	-2.000000e-02	1.856576e+01	1.040000e+03	1.856576e+01	9.921184e+02	1.833104e+01	1.580000e-03	1.837864e+01	3.860000e-02	1.842589e+01	1.250000e-03	2.548474e+01	2.745456e-12	2.555873e+01	1.165181e-14	2.563373e+01	1.168189e-11	2.581471e+01	4.663969e-10	2.588971e+01	1.008100e-10	2.596370e+01	6.936073e-12	2.603870e+01	4.633062e-13	6.733957568423648	1.0	1.0	0.036984578	0.007317347222447604	1.0	1.0	0.0	2.0	6.84103e-06	0.0	1.0	42.0	0.036929123	2.7062899e-07	0.0
1.162286e+01	1.348074e-01	2.655539e-02	1	1.874318e+01	4.210000e-06	1.896333e+01	0.000000e+00	1.896333e+01	-2.900000e-02	1.900334e+01	0.000000e+00	1.900334e+01	-2.000000e-02	1.905327e+01	1.040000e+03	1.905327e+01	9.921051e+02	1.880316e+01	1.580000e-03	1.884339e+01	3.860000e-02	1.890325e+01	1.250000e-03	2.615566e+01	2.734672e-12	2.622965e+01	9.258265e-15	2.630465e+01	1.170547e-11	2.648564e+01	4.642609e-10	2.656064e+01	1.008035e-10	2.663464e+01	6.993522e-12	2.670964e+01	4.768209e-13	6.783857567163068	1.0	1.0	0.037994534	0.007511931567590557	1.0	1.0	0.0	2.0	7.2120069e-06	0.0	1.0	42.0	0.037926823	2.8541234e-07	0.0
1.177806e+01	1.379019e-01	2.715431e-02	1	1.923292e+01	4.210000e-06	1.946300e+01	0.000000e+00	1.946300e+01	-2.900000e-02	1.952278e+01	0.000000e+00	1.952278e+01	-2.000000e-02	1.956275e+01	1.040000e+03	1.956275e+01	9.919851e+02	1.930307e+01	1.580000e-03	1.936305e+01	3.860000e-02	1.942310e+01	1.250000e-03	2.682400e+01	2.748725e-12	2.689900e+01	8.747961e-16	2.697299e+01	1.166788e-11	2.715498e+01	4.670530e-10	2.722998e+01	1.015889e-10	2.730397e+01	6.974625e-12	2.737897e+01	4.873266e-13	6.833757565902488	1.0	1.0	0.039002169	0.007708983676921979	1.0	1.0	0.0	2.0	7.5928069e-06	0.0	1.0	42.0	0.038928095	3.006671e-07	0.0
1.193586e+01	1.411111e-01	2.781202e-02	1	1.974267e+01	4.210000e-06	1.994270e+01	0.000000e+00	1.994270e+01	-2.900000e-02	2.000277e+01	0.000000e+00	2.000277e+01	-2.000000e-02	2.004268e+01	1.040000e+03	2.004268e+01	9.920917e+02	1.978282e+01	1.580000e-03	1.984280e+01	3.860000e-02	1.988275e+01	1.250000e-03	2.749467e+01	2.735834e-12	2.756967e+01	8.302464e-16	2.764366e+01	1.168648e-11	2.782566e+01	4.677877e-10	2.789965e+01	1.015308e-10	2.797465e+01	6.971858e-12	2.804865e+01	4.651853e-13	6.883757564639382	1.0	1.0	0.03998252	0.007906451583106933	1.0	1.0	0.0	2.0	7.9841848e-06	0.0	1.0	42.0	0.039927579	3.1611987e-07	0.0
1.209166e+01	1.441292e-01	2.841093e-02	1	2.023241e+01	4.210000e-06	2.044249e+01	0.000000e+00	2.044249e+01	-2.900000e-02	2.050226e+01	0.000000e+00	2.050226e+01	-2.000000e-02	2.055242e+01	1.040000e+03	2.055242e+01	9.920917e+02	2.029254e+01	1.580000e-03	2.035263e+01	3.860000e-02	2.039232e+01	1.250000e-03	2.816465e+01	2.730921e-12	2.823964e+01	2.365191e-15	2.831364e+01	1.169581e-11	2.849563e+01	4.652103e-10	2.856963e+01	1.012008e-10	2.864463e+01	6.987455e-12	2.871863e+01	4.893354e-13	6.933757563376275	1.0	1.0	0.040981129	0.00810193743867179	1.0	1.0	0.0	2.0	8.3853984e-06	0.0	1.0	42.0	0.040927064	3.3202653e-07	0.0
1.224986e+01	1.473727e-01	2.905299e-02	1	2.073797e+01	4.210000e-06	2.094025e+01	0.000000e+00	2.094025e+01	-2.900000e-02	2.098733e+01	0.000000e+00	2.098733e+01	-2.000000e-02	2.103470e+01	1.040000e+03	2.103470e+01	9.920517e+02	2.080035e+01	1.580000e-03	2.084627e+01	3.860000e-02	2.089324e+01	1.250000e-03	2.883394e+01	2.735405e-12	2.890794e+01	2.312541e-15	2.898293e+01	1.163377e-11	2.916392e+01	4.620203e-10	2.923892e+01	1.013137e-10	2.931292e+01	6.989995e-12	2.938791e+01	4.862371e-13	6.983757562113169	1.0	1.0	0.041975066	0.008298055248343626	1.0	1.0	0.0	2.0	8.7964027e-06	0.0	1.0	42.0	0.041926548	3.4831143e-07	0.0
1.240666e+01	1.505245e-01	2.965114e-02	1	2.122370e+01	4.210000e-06	2.142685e+01	0.000000e+00	2.142685e+01	-2.900000e-02	2.147433e+01	0.000000e+00	2.147433e+01	-2.000000e-02	2.152142e+01	1.040000e+03	2.152142e+01	9.920917e+02	2.126998e+01	1.580000e-03	2.131686e+01	3.860000e-02	2.137924e+01	1.250000e-03	2.950396e+01	2.733857e-12	2.957796e+01	5.625429e-15	2.965296e+01	1.162873e-11	2.983395e+01	4.654968e-10	2.990894e+01	1.005676e-10	2.998294e+01	7.015518e-12	3.005793e+01	4.754237e-13	7.033757560850063	1.0	1.0	0.042984504	0.008495516975893187	1.0	1.0	0.0	2.0	9.2172686e-06	0.0	1.0	42.0	0.042926036	3.6517559e-07	0.0
1.256166e+01	1.535694e-01	3.026113e-02	1	2.172602e+01	4.210000e-06	2.191594e+01	0.000000e+00	2.191594e+01	-2.900000e-02	2.196298e+01	0.000000e+00	2.196298e+01	-2.000000e-02	2.201045e+01	1.040000e+03	2.201045e+01	9.920917e+02	2.177382e+01	1.580000e-03	2.182092e+01	3.870000e-02	2.186821e+01	1.250000e-03	3.017293e+01	2.730383e-12	3.024792e+01	4.078334e-15	3.032192e+01	1.162220e-11	3.050391e+01	4.642050e-10	3.057890e+01	1.011281e-10	3.065290e+01	6.997463e-12	3.072790e+01	4.952605e-13	7.083757559586957	1.0	1.0	0.044003274	0.008692485432321664	1.0	1.0	0.0	2.0	9.6480017e-06	0.0	1.0	42.0	0.04392552	3.8249783e-07	0.0
1.273266e+01	1.570154e-01	3.091617e-02	1	2.218259e+01	4.220000e-06	2.240171e+01	0.000000e+00	2.240171e+01	-2.900000e-02	2.244931e+01	0.000000e+00	2.244931e+01	-2.000000e-02	2.249558e+01	1.040000e+03	2.249558e+01	9.921051e+02	2.222937e+01	1.580000e-03	2.229123e+01	3.870000e-02	2.235434e+01	1.250000e-03	3.084319e+01	2.744797e-12	3.091819e+01	1.486344e-14	3.099219e+01	1.164401e-11	3.117418e+01	4.678135e-10	3.124817e+01	1.014437e-10	3.132317e+01	6.965205e-12	3.139717e+01	4.827501e-13	7.13375755832385	1.0	1.0	0.044984266	0.008889278417444546	1.0	1.0	0.0	2.0	1.0088595e-05	0.0	1.0	42.0	0.044925004	3.9987768e-07	0.0
1.288726e+01	1.600335e-01	3.153111e-02	1	2.268672e+01	4.210000e-06	2.287412e+01	0.000000e+00	2.287412e+01	-2.900000e-02	2.292156e+01	0.000000e+00	2.292156e+01	-2.000000e-02	2.296798e+01	1.040000e+03	2.296798e+01	9.921184e+02	2.273409e+01	1.580000e-03	2.278022e+01	3.870000e-02	2.282783e+01	1.250000e-03	3.151298e+01	2.748251e-12	3.158798e+01	8.144519e-15	3.166198e+01	1.164032e-11	3.184397e+01	4.655984e-10	3.191796e+01	1.011494e-10	3.199296e+01	6.961661e-12	3.206696e+01	4.962163e-13	7.18365755706327	1.0	1.0	0.045991614	0.009085723470038776	1.0	1.0	0.0	2.0	1.0538063e-05	0.0	1.0	42.0	0.045923602	4.1786708e-07	0.0
1.304306e+01	1.631586e-01	3.211820e-02	1	2.315423e+01	4.210000e-06	2.335786e+01	0.000000e+00	2.335786e+01	-2.900000e-02	2.340343e+01	0.000000e+00	2.340343e+01	-2.000000e-02	2.345000e+01	1.040000e+03	2.345000e+01	9.921184e+02	2.321566e+01	1.580000e-03	2.326293e+01	3.870000e-02	2.331013e+01	1.250000e-03	3.218295e+01	2.737340e-12	3.225695e+01	1.576659e-14	3.233194e+01	1.158750e-11	3.251293e+01	4.648920e-10	3.258793e+01	1.005340e-10	3.266193e+01	7.041486e-12	3.273692e+01	5.038060e-13	7.23355755580269	1.0	1.0	0.046992727	0.009282001193949153	1.0	1.0	0.0	2.0	1.0997367e-05	0.0	1.0	42.0	0.046923973	4.3618655e-07	0.0
1.318586e+01	1.660773e-01	3.271216e-02	1	2.363958e+01	4.210000e-06	2.382684e+01	0.000000e+00	2.382684e+01	-2.900000e-02	2.387362e+01	0.000000e+00	2.387362e+01	-2.000000e-02	2.392156e+01	1.040000e+03	2.392156e+01	9.920251e+02	2.368682e+01	1.580000e-03	2.373307e+01	3.870000e-02	2.377953e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.283557554539584	1.0	1.0	0.048000887	0.009478885955306632	1.0	1.0	0.0	2.0	1.1467393e-05	0.0	1.0	42.0	0.047923461	4.5499493e-07	0.0
1.335526e+01	1.694584e-01	3.338399e-02	1	2.410919e+01	4.210000e-06	2.429677e+01	0.000000e+00	2.429677e+01	-2.900000e-02	2.434400e+01	0.000000e+00	2.434400e+01	-2.000000e-02	2.439193e+01	1.040000e+03	2.439193e+01	9.921317e+02	2.415604e+01	1.580000e-03	2.420287e+01	3.870000e-02	2.425092e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.333557553276478	1.0	1.0	0.048993763	0.009674486751599199	1.0	1.0	0.0	2.0	1.1947243e-05	0.0	1.0	42.0	0.048922949	4.739895e-07	0.0
1.351026e+01	1.725605e-01	3.398940e-02	1	2.456418e+01	4.210000e-06	2.480485e+01	0.000000e+00	2.480485e+01	-2.900000e-02	2.485559e+01	0.000000e+00	2.485559e+01	-2.000000e-02	2.490727e+01	1.040000e+03	2.490727e+01	9.920917e+02	2.462601e+01	1.580000e-03	2.468988e+01	3.870000e-02	2.474491e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.383557552013372	1.0	1.0	0.049983028	0.0098705726246677	1.0	1.0	0.0	2.0	1.2436877e-05	0.0	1.0	42.0	0.049922429	4.9336109e-07	0.0
1.366766e+01	1.756933e-01	3.458946e-02	1	2.508798e+01	4.210000e-06	2.528824e+01	0.000000e+00	2.528824e+01	-2.900000e-02	2.534268e+01	0.000000e+00	2.534268e+01	-2.000000e-02	2.539788e+01	1.040000e+03	2.539788e+01	9.921317e+02	2.514808e+01	1.580000e-03	2.518800e+01	3.880000e-02	2.523732e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.433557550750265	1.0	1.0	0.050964657	0.01006732788799263	1.0	1.0	0.0	2.0	1.2936339e-05	0.0	1.0	42.0	0.050921913	5.1307791e-07	0.0
1.382306e+01	1.788183e-01	3.525556e-02	1	2.558760e+01	4.210000e-06	2.578594e+01	0.000000e+00	2.578594e+01	-2.900000e-02	2.583333e+01	0.000000e+00	2.583333e+01	-2.000000e-02	2.588056e+01	1.040000e+03	2.588056e+01	9.921451e+02	2.564392e+01	1.580000e-03	2.569087e+01	3.880000e-02	2.573837e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.483557549487159	1.0	1.0	0.051985335	0.01026379193192245	1.0	1.0	0.0	2.0	1.3445626e-05	0.0	1.0	42.0	0.051921401	5.3356666e-07	0.0
1.400526e+01	1.824363e-01	3.593273e-02	1	2.605324e+01	4.210000e-06	2.625473e+01	0.000000e+00	2.625473e+01	-2.900000e-02	2.630165e+01	0.000000e+00	2.630165e+01	-2.000000e-02	2.634778e+01	1.040000e+03	2.634778e+01	9.921184e+02	2.609996e+01	1.580000e-03	2.614741e+01	3.880000e-02	2.620820e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.533557548224053	1.0	1.0	0.052995406	0.01046180601244689	1.0	1.0	0.0	2.0	1.3964773e-05	0.0	1.0	42.0	0.052920889	5.5442769e-07	0.0
1.415186e+01	1.852939e-01	3.648967e-02	1	2.653425e+01	4.210000e-06	2.673805e+01	0.000000e+00	2.673805e+01	-2.900000e-02	2.678395e+01	0.000000e+00	2.678395e+01	-2.000000e-02	2.683108e+01	1.040000e+03	2.683108e+01	9.921051e+02	2.658208e+01	1.580000e-03	2.662829e+01	3.880000e-02	2.669046e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.583457546963473	1.0	1.0	0.053976737	0.01065612506671021	1.0	1.0	0.0	2.0	1.4492658e-05	0.0	1.0	42.0	0.053920373	5.7518287e-07	0.0
1.430766e+01	1.884381e-01	3.709889e-02	1	2.701685e+01	4.210000e-06	2.720364e+01	0.000000e+00	2.720364e+01	-2.900000e-02	2.725052e+01	0.000000e+00	2.725052e+01	-2.000000e-02	2.729691e+01	1.040000e+03	2.729691e+01	9.921051e+02	2.706496e+01	1.580000e-03	2.711081e+01	3.880000e-02	2.715684e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.633357545702893	1.0	1.0	0.054970331	0.0108534008872489	1.0	1.0	0.0	2.0	1.503034e-05	0.0	1.0	42.0	0.054919861	5.9661505e-07	0.0
1.446246e+01	1.915555e-01	3.771041e-02	1	2.748304e+01	4.210000e-06	2.767127e+01	0.000000e+00	2.767127e+01	-2.900000e-02	2.771677e+01	0.000000e+00	2.771677e+01	-2.000000e-02	2.776385e+01	1.040000e+03	2.776385e+01	9.920251e+02	2.753021e+01	1.580000e-03	2.757783e+01	3.880000e-02	2.762368e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.698357544060855	1.0	1.0	0.056306113	0.01111509536054429	1.0	1.0	0.0	2.0	1.5746931e-05	0.0	1.0	42.0	0.05621919	6.258478e-07	0.0
1.461966e+01	1.947532e-01	3.834673e-02	1	2.795205e+01	4.210000e-06	2.814012e+01	0.000000e+00	2.814012e+01	-2.900000e-02	2.818744e+01	0.000000e+00	2.818744e+01	-2.000000e-02	2.823422e+01	1.040000e+03	2.823422e+01	9.921317e+02	2.799907e+01	1.580000e-03	2.804582e+01	3.880000e-02	2.809237e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.763357542418817	1.0	1.0	0.057571176	0.01136971543073067	1.0	1.0	0.0	2.0	1.6476777e-05	0.0	1.0	41.0	0.057518519	6.5456788e-07	0.0
1.477586e+01	1.978821e-01	3.894031e-02	1	2.840463e+01	4.210000e-06	2.860788e+01	0.000000e+00	2.860788e+01	-2.900000e-02	2.865431e+01	0.000000e+00	2.865431e+01	-2.000000e-02	2.870163e+01	1.040000e+03	2.870163e+01	9.920917e+02	2.845158e+01	1.580000e-03	2.849850e+01	3.880000e-02	2.856083e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.81335754115571	1.0	1.0	0.058575083	0.01156535587506369	1.0	1.0	0.0	2.0	1.705121e-05	0.0	1.0	41.0	0.058518011	6.7744168e-07	0.0
1.494866e+01	2.013434e-01	3.965909e-02	1	2.888824e+01	4.210000e-06	2.907554e+01	0.000000e+00	2.907554e+01	-2.900000e-02	2.913718e+01	0.000000e+00	2.913718e+01	-2.000000e-02	2.918354e+01	1.040000e+03	2.918354e+01	9.921451e+02	2.893568e+01	1.580000e-03	2.898258e+01	3.880000e-02	2.902910e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.863357539892604	1.0	1.0	0.059586853	0.01176449895676876	1.0	1.0	0.0	2.0	1.7635499e-05	0.0	1.0	41.0	0.059517495	7.0100947e-07	0.0
1.510286e+01	2.044799e-01	4.028778e-02	1	2.937323e+01	4.210000e-06	2.956167e+01	0.000000e+00	2.956167e+01	-2.900000e-02	2.960830e+01	0.000000e+00	2.960830e+01	-2.000000e-02	2.965643e+01	1.040000e+03	2.965643e+01	9.921317e+02	2.942089e+01	1.580000e-03	2.946707e+01	3.880000e-02	2.951493e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.913357538629498	1.0	1.0	0.060584191	0.01196116932745399	1.0	1.0	0.0	2.0	1.8229714e-05	0.0	1.0	41.0	0.06051698	7.2465775e-07	0.0
1.524686e+01	2.072497e-01	4.080043e-02	1	2.982698e+01	4.210000e-06	3.004637e+01	0.000000e+00	3.004637e+01	-2.900000e-02	3.009319e+01	0.000000e+00	3.009319e+01	-2.000000e-02	3.013904e+01	1.040000e+03	3.013904e+01	9.921317e+02	2.989028e+01	1.580000e-03	2.995237e+01	3.890000e-02	2.999948e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.963257537368918	1.0	1.0	0.061572962	0.01215758325612287	1.0	1.0	0.0	2.0	1.8832516e-05	0.0	1.0	41.0	0.061515573	7.4857843e-07	0.0
1.541586e+01	2.107072e-01	4.146959e-02	1	3.030825e+01	4.210000e-06	3.051296e+01	0.000000e+00	3.051296e+01	-2.900000e-02	3.055982e+01	0.000000e+00	3.055982e+01	-2.000000e-02	3.060702e+01	1.040000e+03	3.060702e+01	9.921451e+02	3.035593e+01	1.580000e-03	3.040326e+01	3.890000e-02	3.046475e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.013157536108338	1.0	1.0	0.062566757	0.01235343485475626	1.0	1.0	0.0	2.0	1.9445113e-05	0.0	1.0	41.0	0.062515952	7.7291435e-07	0.0
1.557026e+01	2.137214e-01	4.208492e-02	1	3.079618e+01	4.210000e-06	3.098603e+01	0.000000e+00	3.098603e+01	-2.900000e-02	3.103255e+01	0.000000e+00	3.103255e+01	-2.000000e-02	3.107873e+01	1.040000e+03	3.107873e+01	9.921317e+02	3.084391e+01	1.580000e-03	3.089133e+01	3.890000e-02	3.093825e+01	1.250000e-03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.063157534845232	1.0	1.0	0.063593388	0.01255029531333735	1.0	1.0	0.0	2.0	2.0068734e-05	0.0	1.0	41.0	0.063515432	7.9811582e-07	0.0
